id,kind,record,reason,status
P5-SEO-f64023b9,seo,/education/course-computational-thinking,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-62837fcf,seo,/education/course-computational-thinking-javascript,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-5753941c,seo,/education/define-value,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-36391c0d,seo,/education/design-thinking-project-2030-mjjjl,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-1fcff18a,seo,/education/digital-storytelling-in-virtual-reality-g4mbc,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-d5912ced,seo,/education/digital-storytelling-in-vr-2egfz,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-66a748e3,seo,/education/discover-latin-with-minecraft,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-9bad4325,seo,/education/dive-into-history-with-ai,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-06f99d6b,seo,/education/greek-minecraft-acropolis-adventure,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-667d0f37,seo,/education/hey-siri-clone-my-voice,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-ef259879,seo,/education/ithaca-teaching-history-journal,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-a48bb00d,seo,/education/latin-and-game-design,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-928af48a,seo,/education/onderwijs-ai-en-het-verborgen-perspectief-in-jouw-foto-5jfsh,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-c89a6512,seo,/education/onderwijs-kleur-de-geschiedenis-met-ai-zwe6w,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-20f47af7,seo,/education/open-an-ai-art-gallery,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-97626a01,seo,/education/predicting-the-past-aeneas,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-14a400ec,seo,/education/python-in-the-classroom,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-086cbf3b,seo,/education/roma-aeterna-lx2z7,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-c0521700,seo,/education/sun-dragons-and-sea-robbers,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-140d8909,seo,/education/wall-of-game,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-04cb0d1e,seo,/education/workshops-and-teacher-training,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-bfcaca27,seo,/onderwijs/1-jaar-ai-in-de-klas,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-522b9c31,seo,/onderwijs/ai-act-van-verplichting-naar-ambitie,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-add5b3a0,seo,/onderwijs/ai-amp-art-wat-als-van-eyck-mijn-selfie-schilderde,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-c5bf0776,seo,/onderwijs/ai-art-beethovenai,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-12697000,seo,/onderwijs/ai-art-ontketen-jouw-lyrische-picasso,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-b30fbf9c,seo,/onderwijs/ai-art-thanos-snap-weg-met-de-photobomb,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-ed1acb50,seo,/onderwijs/ai-design-aikea,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-18839a05,seo,/onderwijs/ai-en-grieks-epigrafie-met-een-robot,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-b4a0a7f0,seo,/onderwijs/ai-en-latijn-breng-tacitus-tot-leven,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-dd8543cd,seo,/onderwijs/ai-for-education-awards-tweemaal-prijs,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-716c069c,seo,/onderwijs/ai-geletterdheid-waarom-moeten-wij-dit-kennen,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-2097126f,seo,/onderwijs/ai-grieks-epigrafie-poezie-en-ai-met-pythia,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-acba11b9,seo,/onderwijs/ai-in-de-klas-vicepremier-op-bezoek,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-2c605d70,seo,/onderwijs/ai-in-de-klas-waarom-en-hoe,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-75dd28db,seo,/onderwijs/ai-klassieke-talen-breng-de-romeinse-keizers-tot-leven,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-1acc47f8,seo,/onderwijs/ai-paasvakantie,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-5d652f31,seo,/onderwijs/ai-sport-inform,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-2a9f092a,seo,/onderwijs/ai-taal-auteur-of-ai-teur,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-27389d1a,seo,/onderwijs/ai-wij-robots-herkennen-onze-emotie,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-ed18bbd1,seo,/onderwijs/ai-wij-robots-herkennen-onze-wereld,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-c2b068e5,seo,/onderwijs/ai-wij-tinder-voor-groepswerken,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-5634a0f0,seo,/onderwijs/avontuuropdeakropolis,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-925db3ca,seo,/onderwijs/blockly-in-de-klas,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-05d8f437,seo,/onderwijs/bouw-een-slimme-vuilnisbak,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-601c8bb0,seo,/onderwijs/breng-de-romeinse-keizers-tot-leven,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-85b38452,seo,/onderwijs/breng-griekse-mythes-tot-leven-met-ai,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-5d14fa76,seo,/onderwijs/chatgpt-in-de-klas,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-7072f8b4,seo,/onderwijs/de-chimaera-het-fantastische-monster,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-d3182037,seo,/onderwijs/define-value,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-abe75bc9,seo,/onderwijs/design-thinking-project-2030,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-590ee644,seo,/onderwijs/digital-storytelling-in-virtual-reality,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-e9e709c2,seo,/onderwijs/digital-storytelling-in-vr,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-8c012fa1,seo,/onderwijs/duik-met-ai-de-geschiedenis-in,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-93c641ff,seo,/onderwijs/grieks-minecraft-akropolis-avontuur,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-9d9615c7,seo,/onderwijs/handvat-voor-lesmateriaal,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-8649642c,seo,/onderwijs/het-digitale-dilemma,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-1aa5c81b,seo,/onderwijs/hey-siri-kloon-mijn-stem,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-8cbc0c1b,seo,/onderwijs/hey-siri-kloon-mijn-stem-2025,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-c792b6bf,seo,/onderwijs/html-in-de-klas,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-2be4d033,seo,/onderwijs/in-dialoog-met-ai,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-cc4f1bd0,seo,/onderwijs/interview-ai-op-een-college,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-2a15a2e9,seo,/onderwijs/interview-met-de-geschiedenis,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-82251719,seo,/onderwijs/ithaca-teaching-history-journal,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-0e44a9ad,seo,/onderwijs/javascript-en-computationeel-denken-in-de-browser,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-2f4c3b76,seo,/onderwijs/javascript-in-de-klas-versie-20,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-66f1fc00,seo,/onderwijs/latijn-en-game-design,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-4eebe31c,seo,/onderwijs/latijnse-wordle,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-33405aa2,seo,/onderwijs/lessenreeks-computationeel-denken,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-6339a088,seo,/onderwijs/lessenreeks-computationeel-denken-javascript,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-bc8610ce,seo,/onderwijs/moeten-robots-auteursrechten-krijgen,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-eec90484,seo,/onderwijs/onderwijs-ai-en-het-verborgen-perspectief-in-jouw-foto,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-fbadf0bd,seo,/onderwijs/ontdek-latijn-met-minecraft,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-90662ff0,seo,/onderwijs/op-avontuur-met-een-ai,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-a9fedbe1,seo,/onderwijs/open-een-ai-kunstgalerij,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-81baba58,seo,/onderwijs/over-zonnedraken-en-zeerovers,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-d7ac13e1,seo,/onderwijs/podcast-de-leraar-denkt-over-ai,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-481ea5ba,seo,/onderwijs/project-delphi,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-94c18c1e,seo,/onderwijs/project-fijnstof,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-8a3016b9,seo,/onderwijs/project-robothand,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-2c43b8e9,seo,/onderwijs/project-slimme-vuilnisbak,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-c4d9bc2d,seo,/onderwijs/project-wind,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-af924ccf,seo,/onderwijs/prora-ai-in-het-vakblad-voor-leraren-oude-talen,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-8d69d646,seo,/onderwijs/python-in-de-klas,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-35b2d195,seo,/onderwijs/recensiesenjongerentaal,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-f34aa89b,seo,/onderwijs/schrijftaken-zonder-aiaiai,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-bfc63be2,seo,/onderwijs/sensei-jouw-teacherbot,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-4bdf0d8e,seo,/onderwijs/social-media,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-f5f26d55,seo,/onderwijs/super-marcus,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-f169507d,seo,/onderwijs/taalalgoritmes-en-sentimentsanalyse,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-a4547f17,seo,/onderwijs/taalalgoritmes-op-de-werkvloer,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-84b0cbad,seo,/onderwijs/taaltechnologie-op-de-redactie,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-bfd76510,seo,/onderwijs/tips-voor-verantwoord-gebruik-en-afspraken,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-4cb81a82,seo,/onderwijs/voorspel-het-verleden-aeneas,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-852f608a,seo,/onderwijs/wall-of-game,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-SEO-21b5e666,seo,/onderwijs/webinar-ai-met-klasse,Source title or description is absent or exceeds the target SEO field limit.,pending
P5-WORKSHOP-fa47fee2,workshop,Kennis in tijden van AI,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-33438285,workshop,Putting the chat in ChatGPT,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-62556b2a,workshop,Schrijftaken zonder AIAIAI,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-a5d684d1,workshop,AI in de Klas - van lesmateriaal tot leerlijn,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-67b777c6,workshop,ChatGPT: Een (Vergiftigd) Geschenk voor Leraar en Leerling?,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-593bf0f6,workshop,AI en taaltechnologie: hoe ga je er effectief mee aan de slag in je taalles?,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-98f04e55,workshop,AI in de Klas: Van A tot Zwerfvuil,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-25acf239,workshop,Python in de Klas,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-8e4da0f9,workshop,AI en Latijn - Breng Tacitus Tot Leven,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-9c1189ae,workshop,Latijnse Inscripties en AI - op tocht met Aeneas,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-8943d794,workshop,Grieks en AI - een knap duo,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-WORKSHOP-da498e91,workshop,Minecraft & Klassieke Talen,"Verify structured duration, price, location, travel and group-size variants against the lossless body.",pending
P5-MEDIA-f015ca41,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/1bd019cd-d781-40f9-bba9-ee7a03625006/1080,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-bff3485d,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/1ece4517-1030-47db-a617-5ca3a23ba9de/1440,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-500dda1c,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/277aee98-c2db-42f6-8f1c-e57008b3d571/1080,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-d5d9f139,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/2a267271-035f-421d-bdc2-8b1c450a6f2b/1728,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-06d1c4f7,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/2b4122ca-c143-438a-bbd5-0eb44b443ff0/1080,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-a16887d3,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/2f284c71-2b77-401e-9a6f-ec8d7700a90c/1920,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-b2118cf1,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/35f558bb-3a1a-4924-bb5c-adc5e84a4929/1080,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-de802c13,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/3ca15499-1337-4dba-abdc-c541a1b6ddca/1920,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-ab8cd31e,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/46d3e0cc-1973-47ef-bdcb-5995f4162298/1920,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-8360687d,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/4abc7c77-ddc1-47d4-a738-62a8eab3396c/1080,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-d907dd16,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/55e10f9f-2bec-4ec6-868f-29d14bbb2c6e/1920,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-1ccd4b00,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/7f0e54ad-e5d8-4f60-b6eb-e1fa2576f52f/1920,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-b6fecc6b,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/89552d00-00a5-473c-b2c4-6a6473a8c70d/1920,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-59f8a27d,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/928a169e-9115-4c98-a939-bffb3309b0f4/1920,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-83a1055e,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/9be49e73-a465-4131-81ce-ea08a073d6f3/1080,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-644bf912,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/9c8927cc-8c51-4e08-9b2e-218dc7be917f/2188,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-acb4b958,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/e912d8b3-5281-4638-aa7e-6131712a4aaa/1080,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-e55deffd,media,https://video.squarespace-cdn.com/content/v1/6026af223ff1970db5c08fb8/fc419f08-a64b-4e00-8203-ec8a156071fa/1080,The owned source media could not be downloaded after retries: HTTP 404,pending
P5-MEDIA-ALT-001,media_accessibility,753 downloaded media URL records,"Source alt text was blank, filename-like, or contextually inconsistent; review without guessing decorative status.",pending
P5-MEDIA-RIGHTS-001,media_rights,829 downloaded media URL records,Local preservation is complete; confirm publication rights before approving records for release.,pending
P5-TAXONOMY-001,taxonomy,two HTTP-429 tag archives,Membership was derived by matching the preserved article text because the raw archive snapshots are unavailable.,pending
